"","genes","logFC","logCPM","F","PValue","FDR"
"LOC105602491","LOC105602491",-1.45734647756969,1.44532664322582,0.240619321242795,0.623760124710401,1
"EBP","EBP",1.33752174946974,1.85262396021901,0.240597361060368,0.623775960577773,1
"METTL4","METTL4",-1.16525204706048,2.38678932035301,0.240565252698566,0.62379911608669,1
"PURA","PURA",-1.18521485400606,2.34506849495023,0.240538770160577,0.623818215876647,1
"MRVI1","MRVI1",0.669714123084197,3.876469965281,0.240484486599764,0.623857370454161,1
"LOC101109597","LOC101109597",-1.62235386772351,0.11097490248197,0.2402150744428,0.624051777831656,1
"MACF1","MACF1",0.198537849437197,7.68076303931202,0.240192660837215,0.624067957544517,1
"ACY1","ACY1",1.27933057384277,2.07245770244449,0.240081966876099,0.624147877943335,1
"KIAA0754","KIAA0754",0.523315734358998,4.43995054006293,0.239768040396836,0.624374655388954,1
"PRPF4","PRPF4",-0.666023356569206,3.88605644365502,0.23976405359792,0.624377536597171,1
"BANF1","BANF1",0.454618320165236,4.747093096461,0.239564170050475,0.624522027946368,1
"MTMR12","MTMR12",-1.00889020145431,2.8446418580927,0.239332121231614,0.624689864604953,1
"INTS7","INTS7",0.668292228799321,3.87441027647383,0.239251632719783,0.624748104024981,1
"NOP9","NOP9",-1.53194567994669,1.10344586532552,0.239198520528759,0.624786541291308,1
"PPOX","PPOX",-1.22373709486029,2.2454395412608,0.238921622921832,0.624987017646251,1
"CTSF","CTSF",0.492388394068228,4.56582739318191,0.238844923223026,0.625042574371361,1
"CEP70","CEP70",-0.468741828005406,4.68268166726703,0.238836140749205,0.625048936581041,1
"GPM6B","GPM6B",-0.289468644237948,5.91279900768664,0.238788293193464,0.625083600907422,1
"LRBA","LRBA",-0.273304022040429,6.09867037330603,0.238761437907802,0.625103058757838,1
"GADD45GIP1","GADD45GIP1",-1.47551944703261,1.21741864092532,0.238733794011149,0.625123089407942,1
"LOC105602633","LOC105602633",1.39800298713596,1.6173810410513,0.238731103750983,0.625125038835736,1
"MYCBP","MYCBP",-1.20749139158444,2.2694377218474,0.23872819694836,0.625127145190742,1
"LOC101122601","LOC101122601",1.20911687675952,2.28318317963126,0.23864857575238,0.625184847237934,1
"DHRS3","DHRS3",1.09155773441455,2.59447972293179,0.23849264759072,0.625297884032993,1
"SMARCD3","SMARCD3",0.525391797644399,4.41430716794251,0.23846365022885,0.625318910098476,1
"TADA2A","TADA2A",0.742302143236689,3.60991156765284,0.238450146220458,0.625328702431811,1
"S100A2","S100A2",-0.790219821874046,3.45907906642408,0.238431126318504,0.625342495157653,1
"PM20D1","PM20D1",-1.49503829597312,1.21825025668635,0.238265506135994,0.625462627303736,1
"LOC105605163","LOC105605163",-1.6168590373072,0.553743612379571,0.238041315876985,0.625625325480547,1
"CD244","CD244",-1.60539160188449,0.221236231242029,0.23795698817228,0.625686547888975,1
"ACTN1","ACTN1",1.11943133340777,2.50790626083827,0.237848413986653,0.625765393164519,1
"LOC101120174","LOC101120174",0.821468581757574,3.35356151991875,0.237815020472025,0.625789647614848,1
"ZNF451","ZNF451",0.321671230929252,5.5879844767084,0.237743873021655,0.625841330616537,1
"CPT2","CPT2",0.419422305689163,4.93622721984833,0.237408810847736,0.62608485557866,1
"SEPHS1","SEPHS1",-0.603545627589164,4.10347790417682,0.237353556096352,0.626125035447003,1
"NAA38","NAA38",1.13719903049783,2.4607966426623,0.237324217496194,0.62614637209279,1
"RAPGEF5","RAPGEF5",0.731082430155827,3.65262513783522,0.237307864240182,0.626158265789477,1
"TFG","TFG",0.446257461662267,4.78233327986495,0.237197597790285,0.626238475639387,1
"FAM92A1","FAM92A1",-0.537067047408235,4.35825260587486,0.236965110623794,0.626407666707592,1
"LOC105608474","LOC105608474",-1.3366080926722,1.8363272782541,0.236623218531936,0.626656663117859,1
"MTMR3","MTMR3",0.40484273403259,5.00110121043862,0.236527645576229,0.626726307676668,1
"KCNS3","KCNS3",0.405042649126563,4.99947321234476,0.236511537973664,0.626738047091876,1
"TIMM17B","TIMM17B",1.20842237677769,2.25476625937148,0.236480697631966,0.626760525284528,1
"DDX39A","DDX39A",0.970709552231442,2.91714288775205,0.236464874370778,0.626772058879469,1
"C2H9orf91","C2H9orf91",1.09968596651761,2.57450306616289,0.236449454447986,0.626783298939608,1
"DCAF7","DCAF7",0.419262165939289,4.91681518996357,0.236322647882358,0.626875749370267,1
"LOC105607140","LOC105607140",-1.27422258568578,2.03986664119067,0.236108029616593,0.627032290272696,1
"SLC25A40","SLC25A40",1.07233593883686,2.61617360071004,0.235981207191646,0.627124834911342,1
"BCL2L11","BCL2L11",-1.58346865236955,0.561068968210004,0.235882240789128,0.627197073855364,1
"TXNDC9","TXNDC9",0.602537880944087,4.09521088895122,0.235742502880965,0.627299105207066,1
"MANEA","MANEA",-0.482584605245677,4.59810845972306,0.235400772605697,0.627548781297097,1
"COPS6","COPS6",0.643257070335867,3.93875792566943,0.23533553240418,0.627596472754875,1
"GPR22","GPR22",-1.28252778300171,1.98419220000714,0.235296463923323,0.627625036245183,1
"HCRTR1","HCRTR1",-1.56180591390917,0.523593934661567,0.235287331422365,0.62763171356151,1
"PAIP2","PAIP2",-0.219699939461127,6.98593239590811,0.23511258965461,0.62775950853902,1
"MYOM1","MYOM1",0.161245938842426,10.8043518478346,0.234868224816991,0.627938319790652,1
"LETMD1","LETMD1",0.512197365859967,4.45901857664388,0.234813729086957,0.627978212098681,1
"LOC101102298","LOC101102298",-1.58552451053632,0.245378714980401,0.234547220110282,0.628173386054033,1
"GABRA1","GABRA1",-1.45597556227326,1.34496807264909,0.234432100952143,0.62825773422605,1
"LOC101102690","LOC101102690",0.415548868872868,4.93705781110118,0.23433017238778,0.628332438949662,1
"MRPL2","MRPL2",0.888703348087761,3.14121699019789,0.234220270532049,0.628413009871213,1
"LRRC59","LRRC59",0.656618833807212,3.88806313963779,0.233963082823192,0.628601649780784,1
"LOC105602726","LOC105602726",1.17618488892261,2.35466561378956,0.23395633791463,0.628606598701796,1
"SNU13","SNU13",0.381471666499633,5.1331729332476,0.233935058013057,0.628622212915509,1
"LOC106991770","LOC106991770",1.05697686009479,2.64584708723599,0.233924617840052,0.628629873755041,1
"CABLES1","CABLES1",-1.57395823189438,0.681993305485121,0.233909217575425,0.628641174619154,1
"TSPAN14","TSPAN14",0.827760646531931,3.32448631483278,0.233861879735126,0.628675914461557,1
"C23H18orf32","C23H18orf32",-0.578096008607083,4.17829099822562,0.233728856128404,0.628773559785992,1
"PDK4","PDK4",0.147923858752953,12.7130323615417,0.233699603443333,0.628795037173707,1
"LOC101122587","LOC101122587",0.880445116441516,3.14936559597511,0.233664343288307,0.628820927463733,1
"CCDC127","CCDC127",-0.545993295873536,4.30597592799324,0.233638360026404,0.628840007600136,1
"SLC3A2","SLC3A2",0.768537572917021,3.50207158462697,0.233430579423605,0.628992633013216,1
"TRAK1","TRAK1",0.235691460568389,6.63588464499618,0.233349721023782,0.629052050264243,1
"ELF4","ELF4",1.46904525770134,1.25198979168605,0.233280336464989,0.629103046305084,1
"REV1","REV1",0.717473864654461,3.66512607759481,0.233223273185533,0.62914499350112,1
"TBC1D15","TBC1D15",0.284839433435152,5.91936186401138,0.233214520592816,0.629151428088627,1
"KDELR3","KDELR3",0.56595795472453,4.21747906441458,0.233185120577206,0.629173042999922,1
"KDM3A","KDM3A",0.334601387547727,5.4554881011118,0.232992950120592,0.629314368252334,1
"CINP","CINP",-0.738087563879706,3.59908124504605,0.232717222598336,0.629517268294353,1
"LOC101109080","LOC101109080",1.21021092742251,2.18890217811402,0.232583553227241,0.62961568511485,1
"TGFBRAP1","TGFBRAP1",0.921649698700666,3.02810011407935,0.232352930750848,0.629785567634963,1
"NR1D1","NR1D1",-1.34968898394832,1.76111482937106,0.232293411789478,0.629829427717738,1
"SSR3","SSR3",0.248464604991495,6.39589027822906,0.232244428085962,0.629865529464413,1
"LOC105607964","LOC105607964",1.12049466215184,2.46480166661965,0.232182375932415,0.629911269597183,1
"GTF2E2","GTF2E2",-0.46109379716462,4.68682581435935,0.232023678469103,0.630028283579401,1
"LRIG3","LRIG3",0.505363627084657,4.46919775061599,0.23189489658165,0.6301232758547,1
"VWA5A","VWA5A",-1.18184722120934,2.27142646991299,0.231807971793989,0.630187411807362,1
"ANK3","ANK3",-0.18433002697,8.190637474171,0.231669043222016,0.630289948616678,1
"EPB42","EPB42",-1.25602059413583,2.05930830245098,0.231660965234727,0.63029591177355,1
"KIF1BP","KIF1BP",-0.447916610739521,4.74109383449641,0.231403391200477,0.630486119673125,1
"GNPDA2","GNPDA2",-0.548982890743455,4.28727634738449,0.231156877469729,0.630668282109704,1
"LOC105604349","LOC105604349",1.60447425472141,0.487921549537313,0.230960230138904,0.630813681309944,1
"EXOSC2","EXOSC2",-0.611190066203628,4.03678850743253,0.230935834955422,0.630831724192858,1
"STX8","STX8",-0.491267865250675,4.54284254458813,0.230875713828386,0.630876195292563,1
"KATNBL1","KATNBL1",0.639783847679909,3.93417621480975,0.230821863687606,0.630916033846836,1
"LOC101107852","LOC101107852",0.686252070242644,3.76667319547293,0.230529196044874,0.631132650639199,1
"DHX37","DHX37",-1.33374671330023,1.82261338301067,0.230504618140028,0.631150849577821,1
"ATP8B2","ATP8B2",1.08319086375596,2.56856549874248,0.230454890106746,0.631187674815153,1
"BRI3","BRI3",1.26764071672212,2.01140489509502,0.23043791191326,0.631200248842991,1
"CHMP6","CHMP6",1.49393571007041,1.22760523296887,0.230345929160367,0.63126838105943,1
"LOC105603743","LOC105603743",-0.230490932028817,6.70419132422604,0.230186412321691,0.631386575898317,1
"EMC6","EMC6",-0.503616024466278,4.47483091609833,0.230180301769998,0.63139110454549,1
"ZNF524","ZNF524",1.48171963798353,0.996047576848932,0.229967164030467,0.631549111309191,1
"HSD17B12","HSD17B12",-0.308282046309254,5.65408029019037,0.229825279194305,0.631654345640772,1
