"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",0.395465497866375,-0.104427900763798,4.40735632393769,-0.0236940000055403,0.981096691965743,0.999521470518766
"A3GALT2",0.417058661526666,3.3576502911604,4.2907754271909,0.782527621903204,0.433904558727243,0.999521470518766
"A4GALT",1.10093548142443,-0.104441491587986,4.40735632392833,-0.0236970836737103,0.981094232245156,0.999521470518766
"AAAS",2.41124723664761,4.81927415793129,4.26305705321913,1.13047376513344,0.258276646977573,0.999521470518766
"AACS",8.00581783833391,1.40531653600977,2.31586805360832,0.606820640675175,0.543969948593332,0.999521470518766
"AADACL3",0.594451361401951,-0.104432780510963,4.40735632393339,-0.0236951071879211,0.981095808809966,0.999521470518766
"AADAT",31.5156529472936,1.65981989976688,1.28300762184093,1.29369449683025,0.195770966974242,0.999521470518766
"AAED1",142.532403553598,-0.974936132752324,0.539572286741811,-1.80686843395802,0.0707827953423148,0.999521470518766
"AAGAB",11.6859292401487,-1.05460611276821,1.80845034375005,-0.583154586695117,0.559789239547549,0.999521470518766
"AAK1",23.7506159276978,0.702790492342575,1.4694178219351,0.478278187355219,0.63245221930521,0.999521470518766
"AAMDC",32.622611105227,-0.26867183950038,1.22700121905054,-0.218966236812934,0.826676348660055,0.999521470518766
"AAMP",65.1701725358611,-0.283543212511192,0.66890330457621,-0.423892677119952,0.671644084922766,0.999521470518766
"AANAT",0.762875243817432,-4.29748304217738,4.27436952455609,-1.00540746828006,0.314700685189948,0.999521470518766
"AAR2",10.3575840693365,-3.63794845447019,2.13784261460719,-1.70169142930039,0.0888132279158532,0.999521470518766
"AARS",113.312433724885,-0.493637414664319,0.731768171534332,-0.674581696590174,0.499941564992109,0.999521470518766
"AARS2",10.4550144338652,-1.03522475734312,1.73253987186816,-0.597518576139235,0.5501612084647,0.999521470518766
"AASDH",33.3268300505392,1.04880906893672,1.33609474128096,0.784981061995043,0.432464672250089,0.999521470518766
"AASDHPPT",88.1422725639342,-0.530614169541789,0.720702220315113,-0.736246059169608,0.461580966523625,0.999521470518766
"AASS",240.214505996164,-0.683593093112926,0.490422666040574,-1.39388560204999,0.163352152778991,0.999521470518766
"AATF",1.22331278037796,-4.81994018030367,4.2661166669112,-1.12981912043991,0.258552449689168,0.999521470518766
"ABAT",12.8446694393024,-5.63113355457149,2.68687803442444,-2.09579053549326,0.0361007763102927,0.999521470518766
"ABCA1",172.423594680256,1.22904789114337,0.69365976091992,1.77183103357967,0.0764226094036145,0.999521470518766
"ABCA10",5.04714484874143,4.82100547835814,3.7589483441089,1.2825410293051,0.199652921680336,0.999521470518766
"ABCA2",1.86827570726327,-0.104448777460118,4.40735632392595,-0.0236987367899216,0.98109291361957,0.999521470518766
"ABCA3",5.89615129970543,-6.95891833919422,4.2514005109346,-1.63685315492998,0.10166115605437,0.999521470518766
"ABCA4",0.679372984459372,-0.104434643149229,4.40735632393204,-0.0236955298082314,0.981095471702396,0.999521470518766
"ABCA5",63.1612269787444,0.821248908450552,1.29046777310505,0.63639629409304,0.524518155736984,0.999521470518766
"ABCA6",39.7363554644114,-2.55848126855519,1.22433317000477,-2.08969366446653,0.0366453264953267,0.999521470518766
"ABCA7",0.871857421505636,-4.49151885463303,4.27095592051905,-1.05164252177231,0.292963591078045,0.999521470518766
"ABCB1",1.7049891257835,5.31831390254186,4.25838974762134,1.24890257062839,0.211700711288005,0.999521470518766
"ABCB10",167.918143554388,-0.091306523224246,0.452931630470451,-0.20159007912388,0.840237201714957,0.999521470518766
"ABCB11",11.7382351132101,-2.5627130386343,1.92714757883358,-1.32979594649695,0.183585511855957,0.999521470518766
"ABCB6",50.3075771199528,0.219929257659757,1.07919242246685,0.203790587369986,0.838517148682921,0.999521470518766
"ABCB7",233.964607588102,-0.266749773453565,0.483119039531615,-0.552140883770964,0.5808518330048,0.999521470518766
"ABCB8",2.37335660180093,1.67492666235085,3.54977734854939,0.471839920617926,0.637041054039577,0.999521470518766
"ABCB9",4.89626057709839,3.00131985086285,3.11071208529778,0.964833699990445,0.334628113555271,0.999521470518766
"ABCC1",41.5744003698693,0.688274918633073,0.837742158764429,0.821583241851165,0.411314130191093,0.999521470518766
"ABCC10",0.551205209482357,-1.07501868543366,4.25605773385375,-0.252585550445589,0.80058849710423,0.999521470518766
"ABCC12",1.57898230651447,-0.104446877347676,4.4073563239264,-0.0236983056669734,0.981093257509333,0.999521470518766
"ABCC2",6.45506643857979,-6.52415484546088,3.70322782844301,-1.7617481688141,0.0781118554650718,0.999521470518766
"ABCC3",3.69607000395391,5.92096243855218,4.25452214819131,1.39168682928806,0.164017252352212,0.999521470518766
"ABCC5",120.378393300017,0.907752230619792,0.775389890223825,1.17070423804179,0.24171768112751,0.999521470518766
"ABCC8",2.91279471406644,1.46385632871608,4.14494716768839,0.353166462561321,0.723963648929835,0.999521470518766
"ABCC9",846.576221162577,-0.0965132052836735,0.31981104639932,-0.301781962725471,0.762818281850875,0.999521470518766
"ABCD1",2.77718836078637,3.90609671923357,3.87174854621949,1.00887148858043,0.313036270471671,0.999521470518766
"ABCD3",236.655896687493,-0.363465413278723,0.581406184796401,-0.625148859408852,0.531873362946897,0.999521470518766
"ABCD4",4.61441643181444,0.218710992612459,3.53431367166262,0.0618821680616628,0.950656668104134,0.999521470518766
"ABCE1",453.87561781202,-0.259749180521249,0.432292448177102,-0.60086448795616,0.547930247653388,0.999521470518766
"ABCF1",68.7833745506132,-0.467261935370649,0.540816278729466,-0.86399384365497,0.387591272483214,0.999521470518766
"ABCF2",87.3499278535787,-0.836810082044669,0.675841743433108,-1.23817460252437,0.215651326561157,0.999521470518766
"ABCF3",76.8508867612828,0.0694672816343146,0.663755167213011,0.10465798997241,0.916647197971494,0.999521470518766
"ABCG1",9.7975689375172,4.98555469251178,3.2711309065531,1.5241073607064,0.127481894270164,0.999521470518766
"ABCG2",31.6313175286093,-0.567847149272095,1.68420503672309,-0.337160343836129,0.735996029858603,0.999521470518766
"ABCG5",3.79120083295371,-4.95184641436039,4.26445950972815,-1.16118968958766,0.24556476676854,0.999521470518766
"ABHD1",1.44278224961568,3.88097497677844,4.27759446861348,0.907279781955676,0.364258862993533,0.999521470518766
"ABHD10",60.4770349521959,-0.00989976514006761,1.20894689610251,-0.0081887510294978,0.993466395000568,0.999521470518766
"ABHD11",2.44573612165745,4.11232100516751,3.94428271125976,1.042603004452,0.297132197191107,0.999521470518766
"ABHD12B",2.31699256403703,5.81177651182188,4.25510941813116,1.36583479782158,0.171990821613612,0.999521470518766
"ABHD13",121.19853609951,-0.410783741050978,0.483185841563922,-0.850156825211184,0.395237901979818,0.999521470518766
"ABHD14A",4.82514210505018,-5.58292285539847,3.11950211728083,-1.78968394490622,0.0735047348574591,0.999521470518766
"ABHD16A",22.1364650503957,2.54226503804042,1.17496562554019,2.16369311814686,0.0304879095254894,0.999521470518766
"ABHD17A",25.9595814304488,0.268616308850243,0.905745024046034,0.296569455772788,0.766795233008987,0.999521470518766
"ABHD17B",31.4540055006872,-0.3801698497747,1.47981066513442,-0.256904385629743,0.797252584942143,0.999521470518766
"ABHD17C",16.9311175648293,-0.584910845112896,1.42795861622001,-0.409613302842928,0.682089636878123,0.999521470518766
"ABHD18",240.791075884386,1.55114333836783,0.507524339048594,3.05629349968832,0.00224091780785217,0.463991194166361
"ABHD2",64.6119340382172,-0.652229558921106,0.711257572637607,-0.917008948674384,0.359137950905893,0.999521470518766
"ABHD3",16.9927964971148,-1.06207272017273,2.10278003331846,-0.505080276274377,0.613502453975857,0.999521470518766
"ABHD4",35.3552984640507,0.352024208345074,1.25857334123703,0.27970098905724,0.779706919446629,0.999521470518766
"ABHD5",30.5873812870036,0.0883074682738482,0.881752163334733,0.100149987656253,0.920225250374901,0.999521470518766
"ABHD6",5.3633282048763,1.36019937454491,3.8376638583643,0.354434214341184,0.723013497275824,0.999521470518766
"ABHD8",2.14418951267189,-2.30203495260521,4.17920101722498,-0.550831353437452,0.58174928888087,0.999521470518766
"ABI1",104.417191994872,-0.66897245784043,0.589219650105889,-1.13535327228175,0.256227329850874,0.999521470518766
"ABI2",30.0700315099046,0.146268403527763,1.56595046011921,0.0934055113829263,0.925581412211772,0.999521470518766
"ABI3",5.37735840185538,4.18047575089766,3.8956486450127,1.07311416707192,0.283219895324973,0.999521470518766
"ABI3BP",79.0460625042468,-0.356807224229951,0.772975460600529,-0.461602266070317,0.644366569243017,0.999521470518766
"ABL1",17.1309964158558,-0.802106459879801,2.3582535249698,-0.340127323626102,0.733760645849974,0.999521470518766
"ABL2",30.3780658177469,0.839587443854745,1.87689918822543,0.447326872493645,0.654639067106923,0.999521470518766
"ABLIM1",60.0224430575919,-0.099688039684808,0.872820516779285,-0.114213675971616,0.909068410994484,0.999521470518766
"ABLIM2",10.5587313995975,-0.0968459834370722,1.62602500342482,-0.0595599595535678,0.952506109371266,0.999521470518766
"ABLIM3",87.4478803809689,-0.398580187048864,0.634813124243708,-0.627870111418565,0.530089032108761,0.999521470518766
"ABR",12.7082809818234,0.179254714537268,2.00307885135404,0.089489594688744,0.928692822640787,0.999521470518766
"ABRA",1028.56129030341,0.281589974419954,0.488880654601604,0.575989194437293,0.564622485320533,0.999521470518766
"ABRACL",4.81005922768485,5.60996421960817,3.78380565228118,1.48262483201959,0.13817411580756,0.999521470518766
"ABT1",77.3890093294098,0.41771473587373,0.869065693240181,0.480648055863698,0.630766654848925,0.999521470518766
"ABTB1",12.6761675766808,0.76653628642982,1.59166218580505,0.481594834171494,0.630093796612962,0.999521470518766
"ABTB2",6.72132265977836,-0.247621064638053,2.58797063950882,-0.0956815586922772,0.923773487723689,0.999521470518766
"ACAA1",13.8765042899779,-1.6936004998417,1.73355034629104,-0.976954896905755,0.32859148205384,0.999521470518766
"ACAA2",374.127300211849,0.676091475119103,0.348791034878463,1.93838547299442,0.0525762114181288,0.999521470518766
"ACACA",22.8735381175156,0.518218974172767,1.25945423841613,0.411463122967035,0.680732976438481,0.999521470518766
"ACACB",91.0498988085327,-0.859500058824933,0.842750258176388,-1.01987516525333,0.307787669129094,0.999521470518766
"ACAD10",28.1724048350702,1.99866633061106,1.06246977276939,1.88115124009733,0.0599513484141751,0.999521470518766
"ACAD11",94.1102053924809,-1.68642496218864,0.763876905360694,-2.20771822050612,0.0272639218917788,0.999521470518766
